Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Sorapattu,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605501
Tirukkanur,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605501
Tirumangalam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
V.Nerkunam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605501
Vadhanur,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605501
Vakkur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
Coudapakkam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605502
Kadaperikuppam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605502
Katterikuppam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605502
Suthukeni,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605502
Thondamanatham,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605502
Valudavur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605502
Ayyur Agaram,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605601
Chinthamani,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605601
Kappiyampuliyur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605601
Mundiyambakkam,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605601
Orathur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605601
Panayapuram,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605601
T.Mettupalayam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605601
Thoravi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605601
Kamala Nagar (Villupuram),,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605602
Kilperumbakkam,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605602
Maharajapuam,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605602
Santhanagopalapuram,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605602
V.Marudur,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605602
Villupuram,,Head Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605602
Villupuram Collectorate,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605602
Villupuram East,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605602
Villupuram West,,Sub Post Office,Non-Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605602
Anilady,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605651
Kilmambattu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605651
Negandur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605651
Perani,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605651
Periyathatchur,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605651
