Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Nuiland,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Phaipijan,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Ralan,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Razaphima,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Singrijan,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Yampha,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Duncan Basti,,Branch Post Office,Non-Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797113
Industrial Estate,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,New Nepaligaon,Nagaland,India,797113
Lengrijan,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797113
New Nepaligaon,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797113
Nst Colony,,Branch Post Office,Non-Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797113
Akhegwo,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Meluri,Nagaland,India,797114
Hutsu,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Meluri,Nagaland,India,797114
Lephori,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Meluri,Nagaland,India,797114
Meluri,,Sub Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797114
Pungkhuri,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Meluri,Nagaland,India,797114
Wazhiho,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Meluri,Nagaland,India,797114
Aoyimti,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Artc,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur,Nagaland,India,797115
Daroga Pathar,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Diphupar,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Eralibill,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Showba Old,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Suger Mill,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Sukhovi,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Artc,Nagaland,India,797115
Dimapur Bazar,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797116
Khehekhu,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Bazar,Nagaland,India,797116
Kuhuboto,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Bazar,Nagaland,India,797116
Kushiabill,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Bazar,Nagaland,India,797116
Padampukhuri,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Bazar,Nagaland,India,797116
Vihokhu,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Bazar,Nagaland,India,797116
Circular Road,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797117
Pwd Colony,,Branch Post Office,Non-Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797117
Rangapahar,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797117
Singal Village,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797117
Thahekhu,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797117
Zeliangrong,,Branch Post Office,Non-Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797117
Signal Village,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur,Nagaland,India,797118
P.R Hill,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,kohima,Nagaland,India,797120
High School Junction,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Sadar,Nagaland,India,797121
Alichen,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Aolijen,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Arree Old,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Changki,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Chare,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Chungtia,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Fazl Ali College,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Ongpangkong,Nagaland,India,798601
Kubza,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Longkhum,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Longmisa,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Longsa,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Mangmentong,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Mokokchung,,Sub Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Nst Colony,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
S. E. Colony,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Tronger,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Ungma,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
V. K. Town,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mokokchung,Nagaland,India,798601
Namsa,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Tizit,Nagaland,India,798602
Tizit,,Sub Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Mon,Nagaland,India,798602
Yannu,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Tizit,Nagaland,India,798602
Zaboka,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Tizit,Nagaland,India,798602
Zangkham,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Tizit,Nagaland,India,798602
Angphang,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Champang,,Sub Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Mon,Nagaland,India,798603
Chengloisho,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Chenwetnyu,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Chingkao,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Chinglong,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Jakpang,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Longching,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
