,Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
154,Barundanga,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
155,Belguri,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
156,Bhatipetla,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
157,Bichandai,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
158,Bishkhowa,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
159,Borocharaikhola,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
160,Dafarpur,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
161,Debottar Hasdaha,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golokganj,Assam,India,783334
162,Dimakuri,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj S.o.,Assam,India,783334
163,Golakganj,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
164,Kachakhana,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
165,Kacharihat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
166,Kismat Hasdaha,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
167,Lakhimari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
168,Molandubi,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golokganj,Assam,India,783334
169,Moterjhar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
170,Paglahat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
171,Raipur,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
172,Ratiadaha,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
173,Sonahat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
174,Tokrerchara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
175,Agomoni,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,NA,Assam,India,783335
176,Bidyardabri,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
177,Chagolia,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agamoni,Assam,India,783335
178,Chatoguma,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
179,Dighaltari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
180,Jhapsabari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
181,Jhaskal,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
182,Kaimari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
183,Kaldoba,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
184,Kherbari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
185,Mahamayahat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
186,Maragadadhar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
187,Pabarchara,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
188,Pokalagi,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
189,Satrasal,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agamoni,Assam,India,783335
190,South Jhapsabari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Agomoni,Assam,India,783335
191,Bhowraguri,,Sub Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Gossaigaon,Assam,India,783336
192,Binnyakhata,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Gossaigaon,Assam,India,783336
193,Gambaribil,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Gossaigaon,Assam,India,783336
194,Kamalsing,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Bhowraguri,Assam,India,783336
195,Aminkata,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Bilasipara,Assam,India,783337
196,Bashbari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Bilasipara,Assam,India,783337
197,Bhumka,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Kokrajhar,Assam,India,783337
198,Dhanpur,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Bilasipara,Assam,India,783337
199,Duligaon,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Bagribari,Assam,India,783337
200,Haraltari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Bilasipara,Assam,India,783337
201,Kartimari,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Bhowraguri,Assam,India,783337
202,Monglajhora,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Kokrajhar,Assam,India,783337
203,Pratapkhata,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Bilasipara,Assam,India,783337
204,Sapatgram,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Bilasipara,Assam,India,783337
205,Tipkai,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Bhowraguri,Assam,India,783337
206,Tulsibil,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Bhowraguri,Assam,India,783337
207,Alamganj,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitala,Assam,India,783339
208,Boraibari Pt- V,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
209,Borshijhora,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
210,Debitola,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
211,Geramari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
212,Jharnerchar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
213,Kazigaon,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
214,Khopati,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
215,Podmeralga,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Debitola,Assam,India,783339
